campaign_id,platform,klike_score,rank,attribute,recommendation,estimated_impact
KLK-0010,TikTok,46.5,3,text_density,"Switch text density from 'high' to 'medium'. On TikTok, 'medium' text density averages +11.6 klike_score points higher.",11.61
KLK-0011,Meta,52.9,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0011,Meta,52.9,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0011,Meta,52.9,3,video_duration_s,"Increase video duration from 7s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +5.4 klike_score points vs your current range.",5.4
KLK-0012,LinkedIn,51.7,1,has_face,"Add a human face to your creative. On LinkedIn, creatives WITH this attribute score ~13.1 klike_score points higher on average; CTR could improve by ~33%.",13.11
KLK-0012,LinkedIn,51.7,2,has_cta,"Add a clear call-to-action to your creative. On LinkedIn, creatives WITH this attribute score ~8.8 klike_score points higher on average; CTR could improve by ~13%.",8.77
KLK-0012,LinkedIn,51.7,3,video_duration_s,"Increase video duration from 23s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +7.4 klike_score points vs your current range.",7.43
KLK-0013,TikTok,77.2,1,has_cta,"Add a clear call-to-action to your creative. On TikTok, creatives WITH this attribute score ~9.1 klike_score points higher on average; CTR could improve by ~10%.",9.12
KLK-0013,TikTok,77.2,2,format,"Switch ad format from 'quadrado' to 'vertical'. On TikTok, 'vertical' format averages +9.1 klike_score points higher.",9.08
KLK-0013,TikTok,77.2,3,video_duration_s,"Increase video duration from 22s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0014,Meta,64.3,1,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0014,Meta,64.3,2,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0014,Meta,64.3,3,video_duration_s,"Increase video duration from 11s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0015,Meta,63.3,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0015,Meta,63.3,2,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0015,Meta,63.3,3,video_duration_s,"Increase video duration from 30s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.4 klike_score points vs your current range.",6.43
KLK-0016,Meta,62.3,1,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11% — efeito especialmente forte para a faixa etária 25-34.",12.94
KLK-0016,Meta,62.3,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0016,Meta,62.3,3,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0017,Meta,61.3,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0017,Meta,61.3,2,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0017,Meta,61.3,3,video_duration_s,"Increase video duration from 7s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +5.4 klike_score points vs your current range.",5.4
KLK-0018,TikTok,62.7,1,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38%.",10.69
KLK-0018,TikTok,62.7,2,video_duration_s,"Increase video duration from 7s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +8.8 klike_score points vs your current range.",8.79
KLK-0019,Meta,49.5,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0019,Meta,49.5,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0019,Meta,49.5,3,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0020,Meta,58.5,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0020,Meta,58.5,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0020,Meta,58.5,3,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0021,TikTok,56.9,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0021,TikTok,56.9,2,video_duration_s,"Increase video duration from 13s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0021,TikTok,56.9,3,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38%.",10.69
KLK-0022,Meta,71.5,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0022,Meta,71.5,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0023,Meta,51.0,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0023,Meta,51.0,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0023,Meta,51.0,3,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0024,Meta,43.1,1,text_density,"Switch text density from 'high' to 'medium'. On Meta, 'medium' text density averages +18.3 klike_score points higher.",18.35
KLK-0024,Meta,43.1,2,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0024,Meta,43.1,3,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11% — efeito especialmente forte para a faixa etária 25-34.",12.94
KLK-0025,Meta,54.5,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0025,Meta,54.5,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11% — efeito especialmente forte para a faixa etária 25-34.",12.94
KLK-0025,Meta,54.5,3,format,"Switch ad format from 'horizontal' to 'quadrado'. On Meta, 'quadrado' format averages +3.6 klike_score points higher.",3.55
KLK-0026,TikTok,54.2,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0026,TikTok,54.2,2,has_subtitle,"Add subtitles / captions to your creative. On TikTok, creatives WITH this attribute score ~7.9 klike_score points higher on average; CTR could improve by ~11%.",7.95
KLK-0026,TikTok,54.2,3,video_duration_s,"Increase video duration from 26s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0027,Meta,59.0,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0027,Meta,59.0,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0027,Meta,59.0,3,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0028,TikTok,69.1,1,video_duration_s,"Increase video duration from 11s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0028,TikTok,69.1,2,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38%.",10.69
KLK-0028,TikTok,69.1,3,has_subtitle,"Add subtitles / captions to your creative. On TikTok, creatives WITH this attribute score ~7.9 klike_score points higher on average; CTR could improve by ~11%.",7.95
KLK-0029,TikTok,56.5,1,video_duration_s,"Increase video duration from 13s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0029,TikTok,56.5,2,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38%.",10.69
KLK-0030,Meta,60.0,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0030,Meta,60.0,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0030,Meta,60.0,3,video_duration_s,"Increase video duration from 22s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.4 klike_score points vs your current range.",6.43
KLK-0031,TikTok,78.4,1,video_duration_s,"Increase video duration from 16s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0031,TikTok,78.4,2,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38%.",10.69
KLK-0032,Meta,76.4,1,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0032,Meta,76.4,2,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0032,Meta,76.4,3,video_duration_s,"Increase video duration from 36s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +2.8 klike_score points vs your current range.",2.81
KLK-0033,Meta,40.7,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0033,Meta,40.7,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0033,Meta,40.7,3,video_duration_s,"Increase video duration from 59s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +9.6 klike_score points vs your current range.",9.64
KLK-0034,LinkedIn,56.1,1,has_hook,"Add hook in the first 3 seconds to your creative. On LinkedIn, creatives WITH this attribute score ~15.9 klike_score points higher on average; CTR could improve by ~52%.",15.95
KLK-0034,LinkedIn,56.1,2,video_duration_s,"Increase video duration from 22s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +7.4 klike_score points vs your current range.",7.43
KLK-0034,LinkedIn,56.1,3,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0035,LinkedIn,52.4,1,has_hook,"Add hook in the first 3 seconds to your creative. On LinkedIn, creatives WITH this attribute score ~15.9 klike_score points higher on average; CTR could improve by ~52%.",15.95
KLK-0035,LinkedIn,52.4,2,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0035,LinkedIn,52.4,3,has_subtitle,"Add subtitles / captions to your creative. On LinkedIn, creatives WITH this attribute score ~5.2 klike_score points higher on average; CTR could improve by ~-5%.",5.22
KLK-0036,TikTok,78.5,1,has_cta,"Add a clear call-to-action to your creative. On TikTok, creatives WITH this attribute score ~9.1 klike_score points higher on average; CTR could improve by ~10%.",9.12
KLK-0036,TikTok,78.5,2,video_duration_s,"Increase video duration from 22s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0037,Meta,69.8,1,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0037,Meta,69.8,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0037,Meta,69.8,3,video_duration_s,"Increase video duration from 15s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0038,Meta,94.4,1,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0038,Meta,94.4,2,video_duration_s,"Increase video duration from 40s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +2.8 klike_score points vs your current range.",2.81
KLK-0039,TikTok,76.5,1,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38% — efeito especialmente forte para a faixa etária 25-34.",10.69
KLK-0039,TikTok,76.5,2,has_cta,"Add a clear call-to-action to your creative. On TikTok, creatives WITH this attribute score ~9.1 klike_score points higher on average; CTR could improve by ~10%.",9.12
KLK-0039,TikTok,76.5,3,video_duration_s,"Increase video duration from 28s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0040,Meta,47.9,1,text_density,"Switch text density from 'high' to 'medium'. On Meta, 'medium' text density averages +18.3 klike_score points higher.",18.35
KLK-0040,Meta,47.9,2,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0041,Meta,56.4,1,text_density,"Switch text density from 'high' to 'medium'. On Meta, 'medium' text density averages +18.3 klike_score points higher.",18.35
KLK-0041,Meta,56.4,2,video_duration_s,"Increase video duration from 46s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +9.6 klike_score points vs your current range.",9.64
KLK-0041,Meta,56.4,3,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0042,Meta,51.0,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0042,Meta,51.0,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11% — efeito especialmente forte para a faixa etária 25-34.",12.94
KLK-0042,Meta,51.0,3,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0043,Meta,52.8,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0043,Meta,52.8,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0043,Meta,52.8,3,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0044,LinkedIn,85.6,1,video_duration_s,"Increase video duration from 20s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +10.1 klike_score points vs your current range.",10.12
KLK-0045,Meta,78.8,1,video_duration_s,"Increase video duration from 13s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0045,Meta,78.8,2,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0046,TikTok,77.0,1,has_face,"Add a human face to your creative. On TikTok, creatives WITH this attribute score ~10.7 klike_score points higher on average; CTR could improve by ~38% — efeito especialmente forte para a faixa etária 25-34.",10.69
KLK-0046,TikTok,77.0,2,video_duration_s,"Increase video duration from 5s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +8.8 klike_score points vs your current range.",8.79
KLK-0046,TikTok,77.0,3,text_density,"Switch text density from 'low' to 'medium'. On TikTok, 'medium' text density averages +3.2 klike_score points higher.",3.22
KLK-0047,Meta,72.0,1,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0047,Meta,72.0,2,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0047,Meta,72.0,3,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0048,TikTok,39.7,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0048,TikTok,39.7,2,video_duration_s,"Increase video duration from 15s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0048,TikTok,39.7,3,text_density,"Switch text density from 'high' to 'medium'. On TikTok, 'medium' text density averages +11.6 klike_score points higher.",11.61
KLK-0049,TikTok,92.7,1,video_duration_s,"Increase video duration from 9s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +8.8 klike_score points vs your current range.",8.79
KLK-0050,Meta,71.6,1,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0050,Meta,71.6,2,has_cta,"Add a clear call-to-action to your creative. On Meta, creatives WITH this attribute score ~7.6 klike_score points higher on average; CTR could improve by ~6%.",7.61
KLK-0050,Meta,71.6,3,video_duration_s,"Increase video duration from 16s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0051,LinkedIn,74.2,1,video_duration_s,"Increase video duration from 13s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +10.1 klike_score points vs your current range.",10.12
KLK-0051,LinkedIn,74.2,2,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0052,TikTok,92.4,1,has_subtitle,"Add subtitles / captions to your creative. On TikTok, creatives WITH this attribute score ~7.9 klike_score points higher on average; CTR could improve by ~11%.",7.95
KLK-0052,TikTok,92.4,2,video_duration_s,"Increase video duration from 22s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +7.7 klike_score points vs your current range.",7.72
KLK-0053,LinkedIn,50.8,1,has_hook,"Add hook in the first 3 seconds to your creative. On LinkedIn, creatives WITH this attribute score ~15.9 klike_score points higher on average; CTR could improve by ~52%.",15.95
KLK-0053,LinkedIn,50.8,2,video_duration_s,"Increase video duration from 19s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +10.1 klike_score points vs your current range.",10.12
KLK-0053,LinkedIn,50.8,3,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0054,LinkedIn,64.6,1,has_hook,"Add hook in the first 3 seconds to your creative. On LinkedIn, creatives WITH this attribute score ~15.9 klike_score points higher on average; CTR could improve by ~52%.",15.95
KLK-0054,LinkedIn,64.6,2,has_face,"Add a human face to your creative. On LinkedIn, creatives WITH this attribute score ~13.1 klike_score points higher on average; CTR could improve by ~33%.",13.11
KLK-0055,TikTok,47.1,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0055,TikTok,47.1,2,video_duration_s,"Increase video duration from 11s to ~38s. The optimal duration bucket for TikTok is '31-45s', which averages +13.4 klike_score points vs your current range.",13.42
KLK-0055,TikTok,47.1,3,has_cta,"Add a clear call-to-action to your creative. On TikTok, creatives WITH this attribute score ~9.1 klike_score points higher on average; CTR could improve by ~10%.",9.12
KLK-0056,LinkedIn,64.3,1,video_duration_s,"Increase video duration from 17s to ~75s. The optimal duration bucket for LinkedIn is '>60s', which averages +10.1 klike_score points vs your current range.",10.12
KLK-0056,LinkedIn,64.3,2,text_density,"Switch text density from 'low' to 'medium'. On LinkedIn, 'medium' text density averages +5.9 klike_score points higher.",5.9
KLK-0056,LinkedIn,64.3,3,format,"Switch ad format from 'quadrado' to 'horizontal'. On LinkedIn, 'horizontal' format averages +2.3 klike_score points higher.",2.3
KLK-0057,Meta,59.8,1,text_density,"Switch text density from 'high' to 'medium'. On Meta, 'medium' text density averages +18.3 klike_score points higher.",18.35
KLK-0057,Meta,59.8,2,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0057,Meta,59.8,3,video_duration_s,"Increase video duration from 13s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0058,Meta,61.4,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0058,Meta,61.4,2,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0058,Meta,61.4,3,video_duration_s,"Increase video duration from 7s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +5.4 klike_score points vs your current range.",5.4
KLK-0059,Meta,23.7,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0059,Meta,23.7,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0059,Meta,23.7,3,text_density,"Switch text density from 'low' to 'medium'. On Meta, 'medium' text density averages +8.5 klike_score points higher.",8.55
KLK-0060,Meta,77.6,1,has_subtitle,"Add subtitles / captions to your creative. On Meta, creatives WITH this attribute score ~7.5 klike_score points higher on average; CTR could improve by ~13%.",7.48
KLK-0060,Meta,77.6,2,video_duration_s,"Increase video duration from 13s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0061,Meta,75.5,1,format,"Switch ad format from 'vertical' to 'quadrado'. On Meta, 'quadrado' format averages +3.7 klike_score points higher.",3.65
KLK-0062,Meta,67.1,1,has_hook,"Add hook in the first 3 seconds to your creative. On Meta, creatives WITH this attribute score ~17.9 klike_score points higher on average; CTR could improve by ~34%.",17.86
KLK-0062,Meta,67.1,2,has_face,"Add a human face to your creative. On Meta, creatives WITH this attribute score ~12.9 klike_score points higher on average; CTR could improve by ~11%.",12.94
KLK-0062,Meta,67.1,3,video_duration_s,"Increase video duration from 14s to ~75s. The optimal duration bucket for Meta is '>60s', which averages +6.1 klike_score points vs your current range.",6.13
KLK-0063,TikTok,66.1,1,has_hook,"Add hook in the first 3 seconds to your creative. On TikTok, creatives WITH this attribute score ~17.3 klike_score points higher on average; CTR could improve by ~40%.",17.29
KLK-0063,TikTok,66.1,2,text_density,"Switch text density from 'high' to 'medium'. On TikTok, 'medium' text density averages +11.6 klike_score points higher.",11.61
